zip_code,population,median_hh_income,poverty_count,%_poverty
01060,12595.0,76156.0,1754,13.93
01062,8066.0,92173.0,707,8.77
01063,1269.0,,0,0.0
01066,115.0,,67,58.26
01068,1484.0,96379.0,82,5.53
01069,7871.0,76531.0,641,8.14
01070,521.0,77917.0,54,10.36
01071,1096.0,107396.0,41,3.74
01072,1274.0,101875.0,64,5.02
01073,5626.0,125449.0,180,3.2
01074,749.0,76859.0,312,41.66
01075,15391.0,92674.0,950,6.17
01077,8424.0,115148.0,505,5.99
01079,240.0,76964.0,5,2.08
01080,1941.0,84938.0,96,4.95
01081,1584.0,90536.0,79,4.99
01082,9594.0,74542.0,748,7.8
01083,2443.0,,289,11.83
01084,101.0,91667.0,11,10.89
01085,35435.0,86289.0,3076,8.68
01088,623.0,53472.0,50,8.03
01089,21801.0,81650.0,1669,7.66
01092,1087.0,70938.0,36,3.31
01093,149.0,,4,2.68
01094,64.0,109000.0,0,0.0
01095,12873.0,124619.0,490,3.81
01096,2362.0,104643.0,125,5.29
01097,45.0,,0,0.0
01098,942.0,92500.0,32,3.4
01103,896.0,,421,46.99
01104,8103.0,51907.0,1350,16.66
01105,2689.0,26563.0,881,32.76
01106,13764.0,143587.0,564,4.1
01107,3972.0,72639.0,692,17.42
01108,10642.0,64125.0,2601,24.44
01109,9647.0,40081.0,2124,22.02
01118,9181.0,89750.0,940,10.24
01119,7089.0,72589.0,602,8.49
01128,2479.0,97663.0,112,4.52
01129,4011.0,95399.0,472,11.77
01144,,,0,
01151,4284.0,63750.0,522,12.18
01201,36286.0,69496.0,4483,12.35
01220,7698.0,57945.0,980,12.73
01222,584.0,107586.0,12,2.05
01223,2385.0,84444.0,208,8.72
01224,201.0,,6,2.99
01225,3015.0,71667.0,270,8.96
01226,6009.0,80063.0,329,5.48
01229,213.0,,0,0.0
01230,7731.0,84192.0,341,4.41
01235,2329.0,77118.0,153,6.57
01236,1309.0,90273.0,49,3.74
01237,2157.0,84506.0,85,3.94
01238,5379.0,80492.0,322,5.99
01240,4617.0,103977.0,293,6.35
01242,165.0,,11,6.67
01243,183.0,89219.0,25,13.66
01244,230.0,59655.0,8,3.48
01245,756.0,113750.0,0,0.0
01247,13469.0,56396.0,1982,14.72
01253,869.0,107955.0,24,2.76
01254,866.0,113304.0,45,5.2
01255,770.0,80469.0,20,2.6
01256,712.0,54716.0,97,13.62
01257,2222.0,79566.0,267,12.02
01258,186.0,128438.0,4,2.15
01259,726.0,126193.0,12,1.65
01260,20.0,,0,0.0
01262,1533.0,142857.0,165,10.76
01264,181.0,85313.0,9,4.97
01266,853.0,103500.0,90,10.55
01267,6535.0,94836.0,492,7.53
01270,834.0,103242.0,30,3.6
01301,15852.0,55635.0,1993,12.57
01330,1521.0,81140.0,170,11.18
01331,12702.0,68681.0,1452,11.43
01337,2287.0,80179.0,169,7.39
01338,76.0,,0,0.0
01339,1287.0,73977.0,112,8.7
01340,1697.0,83516.0,95,5.6
01341,1532.0,94375.0,35,2.28
01342,983.0,130348.0,36,3.66
01343,180.0,90469.0,18,10.0
01344,1553.0,74550.0,83,5.34
01346,420.0,111300.0,20,4.76
01347,80.0,69420.0,0,0.0
01349,690.0,68558.0,128,18.55
01350,103.0,70000.0,23,22.33
01351,2465.0,97037.0,185,7.51
01354,1652.0,92361.0,46,2.78
01355,767.0,80781.0,23,3.0
01360,2725.0,101994.0,213,7.82
01364,6983.0,54703.0,1362,19.5
01366,1038.0,110000.0,77,7.42
01367,498.0,88000.0,57,11.45
01368,1394.0,102330.0,170,12.2
01370,3206.0,70714.0,388,12.1
01373,4571.0,101994.0,148,3.24
01375,2727.0,64167.0,253,9.28
01376,4452.0,65395.0,325,7.3
01378,814.0,94583.0,62,7.62
01379,606.0,69327.0,83,13.7
01380,32.0,70893.0,7,21.88
01420,26820.0,72775.0,2881,10.74
01430,5662.0,115055.0,494,8.72
01431,3025.0,109639.0,85,2.81
01432,6069.0,97320.0,425,7.0
01434,1186.0,104659.0,82,6.91
01436,3517.0,85139.0,480,13.65
01438,190.0,,1,0.53
01440,17360.0,62558.0,2244,12.93
01450,9538.0,177734.0,402,4.21
01451,4610.0,206571.0,244,5.29
01452,3887.0,102344.0,157,4.04
01453,31951.0,82698.0,2854,8.93
01460,8530.0,136849.0,442,5.18
01462,10291.0,110922.0,587,5.7
01463,10113.0,122089.0,614,6.07
01464,5784.0,119167.0,109,1.88
01468,3746.0,106941.0,196,5.23
01469,5924.0,122830.0,366,6.18
01473,8029.0,101064.0,219,2.73
01474,2070.0,128974.0,211,10.19
01475,8880.0,83914.0,909,10.24
01501,14994.0,103234.0,645,4.3
01503,2989.0,119528.0,123,4.12
01504,7795.0,97500.0,441,5.66
01505,4493.0,121667.0,415,9.24
01506,3198.0,71950.0,196,6.13
01507,12372.0,119367.0,356,2.88
01510,12318.0,96332.0,590,4.79
01515,1955.0,80129.0,88,4.5
01516,8663.0,148980.0,344,3.97
01518,2660.0,110227.0,206,7.74
01519,6447.0,147591.0,337,5.23
01520,14500.0,145179.0,467,3.22
01521,2315.0,91435.0,126,5.44
01522,2693.0,118860.0,180,6.68
01523,7285.0,131250.0,220,3.02
01524,5432.0,93949.0,159,2.93
01525,,,0,
01527,11493.0,105938.0,482,4.19
01529,2870.0,107016.0,137,4.77
01531,865.0,102969.0,69,7.98
