zip_code,population,median_hh_income,poverty_count,%_poverty
01029,15.0,,0,0.0
01030,502.0,,15,2.99
01031,86.0,85625.0,0,0.0
01032,5.0,,0,0.0
01033,161.0,,0,0.0
01034,127.0,2499.0,55,43.31
01035,398.0,,25,6.28
01036,175.0,134375.0,0,0.0
01037,16.0,,0,0.0
01038,154.0,,5,3.25
01039,36.0,,0,0.0
01040,8898.0,37267.0,2808,31.56
01050,88.0,,6,6.82
01053,44.0,,22,50.0
01054,94.0,174250.0,23,24.47
01056,1467.0,53942.0,169,11.52
01057,289.0,160355.0,2,0.69
01060,1158.0,81894.0,92,7.94
01062,526.0,,67,12.74
01063,198.0,,0,0.0
01066,,,0,
01068,95.0,93125.0,16,16.84
01069,862.0,81337.0,94,10.9
01070,59.0,,33,55.93
01071,79.0,81154.0,13,16.46
01072,127.0,,5,3.94
01073,484.0,250001.0,25,5.17
01074,,,0,
01075,783.0,123866.0,86,10.98
01077,394.0,,7,1.78
01079,,,0,
01080,197.0,,22,11.17
01081,79.0,86786.0,3,3.8
01082,287.0,70096.0,54,18.82
01083,124.0,,0,0.0
01084,,,0,
01085,2578.0,75385.0,281,10.9
01088,,,0,
01089,1964.0,48630.0,628,31.98
01092,,,0,
01093,,,0,
01094,,,0,
01095,795.0,182730.0,21,2.64
01096,121.0,161964.0,3,2.48
01097,,,0,
01098,43.0,,7,16.28
01103,659.0,16577.0,358,54.32
01104,7691.0,38084.0,1805,23.47
01105,4188.0,23505.0,2205,52.65
01106,904.0,140897.0,0,0.0
01107,3960.0,26923.0,1763,44.52
01108,5485.0,30129.0,2137,38.96
01109,6403.0,29175.0,2410,37.64
01118,1840.0,38162.0,476,25.87
01119,1984.0,46703.0,362,18.25
01128,357.0,,61,17.09
01129,892.0,112614.0,53,5.94
01144,,,0,
01151,2174.0,48598.0,423,19.46
01201,4391.0,86500.0,743,16.92
01220,243.0,,145,59.67
01222,7.0,,0,0.0
01223,154.0,83125.0,2,1.3
01224,,,0,
01225,147.0,73529.0,0,0.0
01226,208.0,,0,0.0
01229,,,0,
01230,432.0,83750.0,0,0.0
01235,91.0,,24,26.37
01236,56.0,,0,0.0
01237,10.0,82188.0,0,0.0
01238,231.0,,0,0.0
01240,122.0,,0,0.0
01242,,,0,
01243,9.0,,0,0.0
01244,13.0,,0,0.0
01245,9.0,,0,0.0
01247,658.0,58250.0,169,25.68
01253,21.0,,0,0.0
01254,31.0,,6,19.35
01255,61.0,98750.0,12,19.67
01256,10.0,,7,70.0
01257,30.0,,0,0.0
01258,5.0,,0,0.0
01259,7.0,,0,0.0
01260,,,0,
01262,55.0,,4,7.27
01264,3.0,,0,0.0
01266,16.0,,1,6.25
01267,531.0,118341.0,73,13.75
01270,157.0,250001.0,9,5.73
01301,633.0,,272,42.97
01330,95.0,112621.0,0,0.0
01331,506.0,,74,14.62
01337,185.0,72500.0,0,0.0
01338,,,0,
01339,35.0,,4,11.43
01340,73.0,66250.0,12,16.44
01341,46.0,,20,43.48
01342,251.0,,146,58.17
01343,,,0,
01344,58.0,,14,24.14
01346,25.0,,0,0.0
01347,,,0,
01349,41.0,,0,0.0
01350,12.0,,4,33.33
01351,130.0,186944.0,40,30.77
01354,69.0,,8,11.59
01355,116.0,21369.0,77,66.38
01360,114.0,125781.0,20,17.54
01364,553.0,41111.0,220,39.78
01366,92.0,,17,18.48
01367,58.0,,12,20.69
01368,36.0,36250.0,5,13.89
01370,315.0,81890.0,30,9.52
01373,156.0,,86,55.13
01375,148.0,,29,19.59
01376,260.0,,46,17.69
01378,35.0,,5,14.29
01379,86.0,,6,6.98
01380,,,0,
01420,7749.0,81731.0,2157,27.84
01430,370.0,,93,25.14
01431,149.0,120357.0,4,2.68
01432,1060.0,,125,11.79
01434,23.0,,13,56.52
01436,80.0,,0,0.0
01438,,,0,
01440,1804.0,52279.0,382,21.18
01450,829.0,250001.0,0,0.0
01451,497.0,250001.0,0,0.0
01452,135.0,200694.0,52,38.52
01453,5237.0,62059.0,466,8.9
01460,434.0,121250.0,55,12.67
01462,448.0,,1,0.22
01463,550.0,155096.0,73,13.27
01464,228.0,,0,0.0
01468,333.0,171733.0,0,0.0
01469,263.0,65278.0,5,1.9
01473,199.0,,0,0.0
01474,123.0,176875.0,0,0.0
01475,643.0,113587.0,111,17.26
01501,889.0,118942.0,72,8.1
01503,161.0,,13,8.07
01504,749.0,,0,0.0
01505,201.0,167679.0,12,5.97
01506,93.0,22813.0,9,9.68
01507,790.0,190200.0,77,9.75
01510,1385.0,58365.0,309,22.31
01515,112.0,50625.0,0,0.0
01516,294.0,,116,39.46
01518,58.0,,2,3.45
01519,446.0,,3,0.67
01520,1286.0,,83,6.45
01521,87.0,75156.0,4,4.6
01522,105.0,,0,0.0
01523,580.0,,0,0.0
01524,176.0,78194.0,37,21.02
01525,,,0,
01527,1355.0,137995.0,42,3.1
01529,123.0,146111.0,9,7.32
01531,29.0,,20,68.97
01532,883.0,,28,3.17
01534,238.0,,75,31.51
01535,161.0,,68,42.24
01536,837.0,98421.0,289,34.53
01537,52.0,,0,0.0
01540,670.0,13947.0,229,34.18
01541,155.0,,53,34.19
01542,140.0,,7,5.0
01543,303.0,250001.0,0,0.0
01545,2876.0,112450.0,111,3.86
01550,3749.0,46908.0,716,19.1
01560,566.0,,9,1.59
01561,,,0,
01562,511.0,101648.0,33,6.46
01564,657.0,129844.0,0,0.0
01566,233.0,,0,0.0
01568,365.0,,0,0.0
01569,572.0,35234.0,26,4.55
01570,1626.0,65571.0,493,30.32
01571,483.0,96291.0,71,14.7
01581,1337.0,113889.0,97,7.26
01583,352.0,,0,0.0
01585,232.0,,0,0.0
01588,778.0,41696.0,204,26.22
01590,512.0,,0,0.0
01602,2905.0,85909.0,382,13.15
01603,3339.0,56277.0,526,15.75
01604,4619.0,69301.0,811,17.56
01605,5960.0,47460.0,1096,18.39
01606,2589.0,88406.0,320,12.36
01607,1710.0,61271.0,67,3.92
01608,1066.0,42961.0,442,41.46
01609,2591.0,24044.0,670,25.86
01610,5898.0,41337.0,1818,30.82
01611,296.0,88851.0,0,0.0
