zip_code,population,median_hh_income,poverty_count,%_poverty
04859,,,0,
04860,64.0,,18,28.12
04861,229.0,,33,14.41
04862,18.0,,0,0.0
04863,3.0,,0,0.0
04864,109.0,,0,0.0
04901,759.0,57273.0,124,16.34
04910,34.0,,0,0.0
04911,26.0,,0,0.0
04912,6.0,,0,0.0
04915,102.0,,15,14.71
04917,57.0,,0,0.0
04918,,,0,
04920,40.0,,0,0.0
04921,38.0,,7,18.42
04922,6.0,,0,0.0
04923,1.0,,0,0.0
04924,,,0,
04925,,,0,
04926,,,0,
04927,1.0,,0,0.0
04928,,,0,
04929,25.0,8942.0,13,52.0
04930,13.0,,12,92.31
04932,5.0,,0,0.0
04936,,,0,
04937,83.0,,0,0.0
04938,190.0,,15,7.89
04939,6.0,,3,50.0
04940,,,0,
04941,9.0,,0,0.0
04942,10.0,,2,20.0
04943,,,0,
04944,,,0,
04945,70.0,,0,0.0
04947,3.0,,0,0.0
04949,11.0,,0,0.0
04950,62.0,,0,0.0
04951,35.0,76042.0,0,0.0
04952,12.0,,3,25.0
04953,15.0,,0,0.0
04955,30.0,,0,0.0
04956,5.0,,0,0.0
04957,71.0,,0,0.0
04958,,,0,
04961,3.0,,3,100.0
04963,72.0,,1,1.39
04964,,,0,
04965,,,0,
04966,45.0,,0,0.0
04967,32.0,,20,62.5
04969,4.0,,0,0.0
04970,23.0,,0,0.0
04971,,,0,
04973,2.0,,0,0.0
04974,220.0,,0,0.0
04975,,,0,
04976,276.0,36627.0,0,0.0
04978,3.0,,0,0.0
04979,,,0,
04981,23.0,,0,0.0
04982,,,0,
04983,143.0,,0,0.0
04984,2.0,,0,0.0
04985,9.0,,0,0.0
04986,10.0,,0,0.0
04987,22.0,,9,40.91
04988,18.0,,0,0.0
04989,88.0,,0,0.0
04992,,,0,
05001,240.0,95978.0,92,38.33
05009,,,0,
05030,,,0,
05031,,,0,
05032,35.0,130750.0,0,0.0
05033,105.0,,0,0.0
05034,,,0,
05035,,,0,
05036,30.0,,0,0.0
05037,1.0,,0,0.0
05038,3.0,,0,0.0
05039,14.0,,14,100.0
05040,,,0,
05041,,,0,
05042,23.0,,6,26.09
05043,26.0,,0,0.0
05045,47.0,,11,23.4
05046,11.0,,0,0.0
05048,,,0,
05050,3.0,,0,0.0
05051,17.0,,0,0.0
05052,,,0,
05053,11.0,,0,0.0
05055,50.0,,11,22.0
05056,4.0,,0,0.0
05058,,,0,
05059,,,0,
05060,65.0,,10,15.38
05061,20.0,,8,40.0
05062,,,0,
05065,13.0,,0,0.0
05067,7.0,,0,0.0
05068,42.0,,0,0.0
05069,3.0,,0,0.0
05070,,,0,
05071,,,0,
05072,10.0,,0,0.0
05073,,,0,
05075,55.0,,0,0.0
05076,,,0,
05077,,,0,
05079,17.0,,11,64.71
05081,20.0,,13,65.0
05083,6.0,,6,100.0
05084,,,0,
05086,3.0,,0,0.0
05088,,,0,
05089,77.0,,0,0.0
05091,297.0,124243.0,62,20.88
05101,100.0,51555.0,6,6.0
05141,,,0,
05142,26.0,,0,0.0
05143,28.0,161154.0,1,3.57
05146,32.0,,0,0.0
05148,61.0,,0,0.0
05149,69.0,48681.0,0,0.0
05150,,,0,
05151,,,0,
05152,,,0,
05153,37.0,,0,0.0
05154,14.0,,6,42.86
05155,,,0,
05156,281.0,69167.0,0,0.0
05158,45.0,,0,0.0
05161,21.0,,5,23.81
05201,397.0,,215,54.16
05250,204.0,71200.0,16,7.84
05251,,,0,
05252,90.0,,5,5.56
05253,18.0,,0,0.0
05254,45.0,,10,22.22
05255,66.0,,4,6.06
05257,113.0,13665.0,66,58.41
05260,,,0,
05261,75.0,,50,66.67
05262,,,0,
05301,466.0,,155,33.26
05340,,,0,
05341,,,0,
05342,,,0,
05343,,,0,
05344,53.0,,0,0.0
05345,58.0,100625.0,5,8.62
05346,320.0,108675.0,0,0.0
05350,,,0,
05351,15.0,,15,100.0
05352,12.0,,0,0.0
05353,44.0,,0,0.0
05354,,,0,
05355,,,0,
05356,9.0,,1,11.11
05358,5.0,,0,0.0
05359,13.0,,7,53.85
05360,,,0,
05361,7.0,,4,57.14
05362,5.0,,0,0.0
05363,121.0,125745.0,18,14.88
05401,1130.0,65347.0,219,19.38
05403,719.0,96169.0,47,6.54
05404,248.0,54167.0,78,31.45
05405,62.0,,0,0.0
05408,292.0,124107.0,39,13.36
05439,54.0,,0,0.0
05440,16.0,,0,0.0
05441,8.0,,0,0.0
05442,12.0,,2,16.67
05443,111.0,,29,26.13
05444,64.0,,0,0.0
05445,61.0,,0,0.0
05446,580.0,,53,9.14
05447,7.0,,0,0.0
05448,34.0,,10,29.41
05450,15.0,,0,0.0
05452,511.0,129896.0,8,1.57
05454,88.0,,0,0.0
05455,64.0,,0,0.0
05456,,,0,
05457,36.0,,5,13.89
05458,54.0,132813.0,0,0.0
05459,66.0,,0,0.0
05461,32.0,,10,31.25
05462,45.0,123929.0,0,0.0
05463,2.0,,2,100.0
05464,26.0,,0,0.0
05465,97.0,72212.0,3,3.09
05468,248.0,101875.0,0,0.0
05471,,,0,
05472,78.0,,16,20.51
05473,35.0,,14,40.0
05474,19.0,,0,0.0
05476,63.0,,7,11.11
05477,115.0,129135.0,0,0.0
05478,412.0,,28,6.8
05481,,,0,
05482,256.0,,6,2.34
05483,,,0,
05485,,,0,
05486,64.0,108438.0,0,0.0
05487,48.0,,1,2.08
05488,98.0,,18,18.37
05489,25.0,,15,60.0
05491,195.0,118611.0,15,7.69
05492,,,0,
05494,55.0,,2,3.64
05495,315.0,191685.0,4,1.27
05602,376.0,74760.0,19,5.05
05640,,,0,
05641,645.0,129415.0,147,22.79
05647,,,0,
05648,14.0,,0,0.0
05649,4.0,,0,0.0
05650,34.0,,0,0.0
05651,56.0,,0,0.0
05652,4.0,,0,0.0
05653,16.0,,0,0.0
05654,,,0,
05655,39.0,,0,0.0
05656,144.0,55000.0,21,14.58
05658,72.0,98056.0,0,0.0
05660,9.0,,0,0.0
05661,201.0,68500.0,18,8.96
05663,198.0,,17,8.59
05664,,,0,
05666,10.0,,0,0.0
05667,26.0,,0,0.0
05669,25.0,,0,0.0
05670,,,0,
05672,130.0,,0,0.0
05673,48.0,,0,0.0
05674,50.0,82727.0,4,8.0
05675,11.0,,0,0.0
05676,69.0,,37,53.62
05677,13.0,,0,0.0
05678,,,0,
05679,36.0,,0,0.0
05680,12.0,,4,33.33
05681,6.0,,0,0.0
05682,14.0,,0,0.0
05701,419.0,84045.0,40,9.55
05730,,,0,
05731,,,0,
05732,,,0,
05733,125.0,,0,0.0
05734,3.0,,0,0.0
05735,163.0,44375.0,20,12.27
05736,,,0,
05737,47.0,,0,0.0
05738,52.0,,23,44.23
05739,,,0,
05742,,,0,
05743,4.0,,1,25.0
05744,,,0,
05746,,,0,
05747,,,0,
05748,6.0,,0,0.0
05751,63.0,,0,0.0
05753,444.0,,7,1.58
05757,56.0,151667.0,0,0.0
05758,18.0,,0,0.0
05759,16.0,,0,0.0
05760,20.0,,0,0.0
05761,89.0,,0,0.0
05762,,,0,
05763,71.0,,0,0.0
05764,74.0,,0,0.0
05765,,,0,
05766,11.0,,0,0.0
05767,20.0,,0,0.0
05768,,,0,
05769,17.0,,0,0.0
05770,25.0,,5,20.0
05772,43.0,,0,0.0
05773,106.0,,9,8.49
05774,30.0,,0,0.0
05775,9.0,,0,0.0
05776,,,0,
05777,9.0,,0,0.0
05778,99.0,,34,34.34
05819,176.0,196350.0,11,6.25
05820,,,0,
05821,35.0,,0,0.0
05822,52.0,46324.0,18,34.62
05824,21.0,,0,0.0
05825,,,0,
05826,,,0,
05827,23.0,31875.0,0,0.0
05828,33.0,,0,0.0
05829,17.0,,0,0.0
05830,8.0,,0,0.0
05832,5.0,,0,0.0
05833,,,0,
05836,15.0,,0,0.0
05837,,,0,
05839,4.0,,0,0.0
05840,,,0,
05841,5.0,,0,0.0
05842,13.0,,0,0.0
05843,58.0,,0,0.0
05845,10.0,,0,0.0
05846,49.0,,49,100.0
05847,24.0,,0,0.0
05850,15.0,,15,100.0
05851,166.0,,36,21.69
05853,,,0,
05855,51.0,,15,29.41
05857,11.0,,0,0.0
05858,6.0,,0,0.0
05859,49.0,,15,30.61
05860,124.0,106000.0,0,0.0
05862,5.0,,0,0.0
05866,30.0,,0,0.0
05867,22.0,,22,100.0
05868,,,0,
05871,15.0,,5,33.33
05872,17.0,,0,0.0
05873,11.0,,0,0.0
05874,67.0,,0,0.0
05875,25.0,,0,0.0
05901,,,0,
05902,,,0,
05903,6.0,,0,0.0
05904,5.0,,0,0.0
05905,17.0,,0,0.0
05906,,,0,
05907,2.0,,2,100.0
06001,894.0,150357.0,20,2.24
06002,1633.0,122435.0,209,12.8
06010,11385.0,68652.0,1869,16.42
06013,424.0,245000.0,0,0.0
06016,583.0,96146.0,3,0.51
06018,358.0,,207,57.82
06019,293.0,249659.0,13,4.44
06020,,,0,
06021,23.0,,1,4.35
06022,,,0,
06023,12.0,,0,0.0
06024,64.0,,22,34.38
06026,314.0,122845.0,0,0.0
06027,55.0,,0,0.0
06029,720.0,97069.0,29,4.03
06031,47.0,,0,0.0
06032,1348.0,121280.0,176,13.06
06033,2508.0,161875.0,137,5.46
06035,265.0,171167.0,6,2.26
06037,1236.0,96489.0,90,7.28
06039,126.0,,0,0.0
06040,6469.0,50511.0,1582,24.46
06042,2997.0,68996.0,517,17.25
06043,321.0,,179,55.76
06051,15253.0,41972.0,3705,24.29
06052,3137.0,54307.0,623,19.86
06053,12965.0,50865.0,2957,22.81
06057,158.0,,0,0.0
06058,198.0,,60,30.3
06059,19.0,,0,0.0
06060,11.0,,0,0.0
06061,,,0,
06062,1977.0,76384.0,108,5.46
06063,228.0,171667.0,0,0.0
06065,25.0,,0,0.0
06066,3676.0,68857.0,460,12.51
06067,1610.0,79250.0,41,2.55
06068,81.0,41196.0,0,0.0
06069,33.0,,3,9.09
06070,1071.0,165000.0,114,10.64
06071,589.0,130476.0,20,3.4
06072,,,0,
06073,388.0,250001.0,64,16.49
06074,1584.0,103542.0,425,26.83
06076,789.0,,42,5.32
06078,910.0,,23,2.53
06079,,,0,
06080,245.0,,0,0.0
06081,104.0,,0,0.0
06082,4401.0,68328.0,460,10.45
06084,1122.0,,145,12.92
06085,583.0,,46,7.89
06088,341.0,75357.0,0,0.0
06089,326.0,107813.0,5,1.53
06090,19.0,,0,0.0
06091,,,0,
06092,101.0,213690.0,0,0.0
06093,97.0,,0,0.0
06095,2954.0,105833.0,274,9.28
06096,1186.0,,151,12.73
06098,874.0,59375.0,283,32.38
06103,446.0,,67,15.02
06105,4760.0,29855.0,1310,27.52
06106,22847.0,42286.0,6768,29.62
06107,1560.0,149837.0,11,0.71
