ZCTA Name,Median Household Income,Population Below Poverty Level,Total Population for Poverty Determination,state,ZCTA,Poverty Rate (%)
ZCTA5 03227,82875,57,1022,33,03227,5.577299412915851
ZCTA5 03229,88854,210,5614,33,03229,3.7406483790523692
ZCTA5 03230,63083,71,1211,33,03230,5.862923203963667
ZCTA5 03231,81667,6,305,33,03231,1.9672131147540985
ZCTA5 03233,-666666666,0,127,33,03233,0.0
ZCTA5 03234,78622,175,4612,33,03234,3.7944492627927144
ZCTA5 03235,52860,754,8600,33,03235,8.767441860465116
ZCTA5 03237,76450,234,2361,33,03237,9.91105463786531
ZCTA5 03238,-666666666,10,109,33,03238,9.174311926605505
ZCTA5 03240,61429,128,1347,33,03240,9.502598366740905
ZCTA5 03241,66250,54,739,33,03241,7.307171853856563
ZCTA5 03242,79867,443,4473,33,03242,9.903867650346523
ZCTA5 03243,80292,88,916,33,03243,9.606986899563319
ZCTA5 03244,80174,499,7585,33,03244,6.578773895847066
ZCTA5 03245,62589,176,2048,33,03245,8.59375
ZCTA5 03246,57771,1811,15989,33,03246,11.326536994183503
ZCTA5 03249,84500,394,7169,33,03249,5.495885060677919
ZCTA5 03251,52857,84,945,33,03251,8.88888888888889
ZCTA5 03253,63359,836,6336,33,03253,13.194444444444445
ZCTA5 03254,71429,240,4076,33,03254,5.888125613346419
ZCTA5 03255,101528,18,2176,33,03255,0.8272058823529412
ZCTA5 03256,68438,197,2272,33,03256,8.670774647887324
ZCTA5 03257,91471,128,3468,33,03257,3.690888119953864
ZCTA5 03258,95114,152,2667,33,03258,5.699287589051369
ZCTA5 03259,56944,21,393,33,03259,5.343511450381679
ZCTA5 03260,101875,5,757,33,03260,0.6605019815059445
