ZCTA Name,Median Household Income,Population Below Poverty Level,Total Population for Poverty Determination,ZCTA,Poverty Rate (%)
ZCTA5 17345,64792,979,7730,17345,12.664941785252266
ZCTA5 17352,82197,31,1628,17352,1.9041769041769043
ZCTA5 17004,52969,636,4892,17004,13.000817661488142
ZCTA5 17080,52188,12,293,17080,4.09556313993174
ZCTA5 17084,53772,1073,4580,17084,23.427947598253276
ZCTA5 17360,83078,460,7072,17360,6.504524886877829
ZCTA5 17361,86013,149,6449,17361,2.31043572646922
ZCTA5 17366,69447,462,5950,17366,7.764705882352942
ZCTA5 12483,63200,19,205,12483,9.268292682926829
ZCTA5 12490,-666666666,18,39,12490,46.15384615384615
ZCTA5 12504,178693,0,136,12504,0.0
ZCTA5 12512,-666666666,0,244,12512,0.0
ZCTA5 12527,-666666666,0,0,12527,
ZCTA5 12530,-666666666,0,47,12530,0.0
ZCTA5 12574,-666666666,0,502,12574,0.0
ZCTA5 12604,-666666666,0,14,12604,0.0
ZCTA5 12722,-666666666,0,21,12722,0.0
ZCTA5 12745,-666666666,25,247,12745,10.121457489878543
ZCTA5 12750,-666666666,174,233,12750,74.67811158798283
ZCTA5 12767,77222,6,250,12767,2.4
ZCTA5 12769,48056,9,229,12769,3.9301310043668125
ZCTA5 12781,83194,0,242,12781,0.0
ZCTA5 12811,44833,0,108,12811,0.0
ZCTA5 12862,-666666666,0,0,12862,
ZCTA5 12864,-666666666,0,13,12864,0.0
ZCTA5 12872,-666666666,0,91,12872,0.0
ZCTA5 12884,49722,107,593,12884,18.043844856661046
ZCTA5 12151,77132,18,1302,12151,1.3824884792626728
ZCTA5 12205,75595,2085,26039,12205,8.007219939321788
ZCTA5 12464,57326,118,958,12464,12.31732776617954
ZCTA5 12486,90787,56,1874,12486,2.9882604055496262
ZCTA5 12522,60492,804,4918,12522,16.34810898739325
ZCTA5 12575,145769,178,1914,12575,9.299895506792058
ZCTA5 12924,111944,0,41,12924,0.0
ZCTA5 12929,50385,60,765,12929,7.8431372549019605
ZCTA5 12933,73077,0,65,12933,0.0
ZCTA5 12939,60875,23,155,12939,14.838709677419354
ZCTA5 12973,49792,19,104,12973,18.269230769230766
ZCTA5 12975,54750,20,217,12975,9.216589861751153
ZCTA5 12976,74583,26,225,12976,11.555555555555555
