ZCTA Name,Median Household Income,Population Below Poverty Level,Total Population for Poverty Determination,ZCTA,Poverty Rate (%)
ZCTA5 00601,17526,10440,16791,00601,62.17616580310881
ZCTA5 00602,20260,17768,37510,00602,47.368701679552125
ZCTA5 00603,17703,23551,48379,00603,48.68021248888981
ZCTA5 00606,19603,3021,5590,00606,54.04293381037567
ZCTA5 00610,22796,11597,25405,00610,45.64849439086794
ZCTA5 00611,22525,587,1315,00611,44.638783269961976
ZCTA5 00612,22305,27239,62890,00612,43.31213229448243
ZCTA5 00616,23652,4201,9612,00616,43.70578443612151
ZCTA5 00617,20328,10418,22559,00617,46.18112504986923
ZCTA5 00622,22818,3496,7524,00622,46.464646464646464
ZCTA5 00623,23132,16224,39266,00623,41.318188763816025
ZCTA5 00624,20101,11130,21550,00624,51.64733178654293
ZCTA5 00627,23263,13563,32541,00627,41.6797271134876
ZCTA5 00631,15658,846,1420,00631,59.57746478873239
ZCTA5 00636,-666666666,800,1057,00636,75.68590350047305
ZCTA5 00637,20568,10350,22740,00637,45.51451187335092
ZCTA5 00638,19796,9664,17551,00638,55.06238960742977
ZCTA5 00641,17673,12959,24178,00641,53.598312515509974
ZCTA5 00646,31330,11072,35857,00646,30.878210670162034
ZCTA5 00647,17143,3176,4702,00647,67.54572522330923
ZCTA5 00650,20363,6827,13740,00650,49.68704512372635
ZCTA5 00652,26148,1498,3919,00652,38.22403674406736
ZCTA5 00653,13777,5795,8825,00653,65.6657223796034
ZCTA5 00656,21456,9388,18041,00656,52.037026772351865
ZCTA5 00659,23899,14782,36955,00659,40.0
ZCTA5 00660,22556,6367,15389,00660,41.37370849307947
ZCTA5 00662,20283,19434,40078,00662,48.49044363491192
ZCTA5 00664,17966,8257,14932,00664,55.29734797749799
ZCTA5 00667,16889,13087,23320,00667,56.11921097770154
ZCTA5 00669,18838,15237,27229,00669,55.95872048183922
ZCTA5 00670,16644,4542,8672,00670,52.375461254612546
ZCTA5 00674,20088,18002,39181,00674,45.945739006150944
ZCTA5 00676,20160,17143,36499,00676,46.96841009342722
ZCTA5 00677,26404,6304,15263,00677,41.30249623271965
ZCTA5 00678,19558,11494,24982,00678,46.00912657113121
ZCTA5 00680,16535,22589,42458,00680,53.2031654811814
ZCTA5 00682,17385,16264,30079,00682,54.070946507530174
ZCTA5 00683,18132,14181,29136,00683,48.67174629324547
ZCTA5 00685,17481,21041,40156,00685,52.3981472258193
ZCTA5 00687,22282,13586,28603,00687,47.49851414187323
ZCTA5 00688,17273,5987,10988,00688,54.48671277757554
ZCTA5 00690,23343,2765,5781,00690,47.82909531222972
ZCTA5 00692,25289,13639,32983,00692,41.3516053724646
ZCTA5 00693,23791,23966,55207,00693,43.411161628054415
ZCTA5 00694,-666666666,27,98,00694,27.55102040816326
ZCTA5 00698,19818,14745,33336,00698,44.231461483081354
ZCTA5 00703,23045,10679,24363,00703,43.83286130607889
ZCTA5 00704,19845,3521,6766,00704,52.03960981377476
ZCTA5 00705,22679,10329,24374,00705,42.37712316402724
ZCTA5 00707,21765,5255,10480,00707,50.14312977099237
ZCTA5 00714,18496,9102,15774,00714,57.70254849752757
ZCTA5 00715,16250,1367,2040,00715,67.00980392156862
ZCTA5 00716,20184,13196,27041,00716,48.79997041529529
ZCTA5 00717,14164,7800,14854,00717,52.511108119025174
ZCTA5 00718,20414,11155,23216,00718,48.048759476223296
ZCTA5 00719,20533,14400,29455,00719,48.88813444236972
ZCTA5 00720,16751,11490,20680,00720,55.56092843326886
ZCTA5 00723,20967,7705,15964,00723,48.264845903282385
ZCTA5 00725,25786,31300,76652,00725,40.83389865887387
ZCTA5 00727,33678,16325,52983,00727,30.81176981295887
ZCTA5 00728,21239,17986,36106,00728,49.81443527391569
ZCTA5 00729,26978,16792,47611,00729,35.269160488122495
ZCTA5 00730,17517,16881,32017,00730,52.725114782771655
ZCTA5 00731,16944,5862,10429,00731,56.20864895963179
ZCTA5 00735,23125,4613,11089,00735,41.599783569302915
ZCTA5 00736,27158,17606,45799,00736,38.441887377453654
ZCTA5 00738,24643,12441,29961,00738,41.523981175528185
ZCTA5 00739,24887,13847,34589,00739,40.03295845500014
ZCTA5 00740,18784,1188,2034,00740,58.4070796460177
ZCTA5 00741,23821,1802,3609,00741,49.93072873372125
ZCTA5 00745,26189,16929,46979,00745,36.03524979246046
ZCTA5 00751,20241,9706,19496,00751,49.78457119409109
ZCTA5 00754,19528,16682,36493,00754,45.71287644205738
ZCTA5 00757,22764,9297,20037,00757,46.399161551130405
ZCTA5 00765,17062,4433,8199,00765,54.06756921575801
ZCTA5 00766,22511,9359,21927,00766,42.682537510831395
ZCTA5 00767,20126,15124,30759,00767,49.169348808478816
ZCTA5 00769,20236,17218,34252,00769,50.268597454163256
ZCTA5 00771,23343,13683,34907,00771,39.1984415733234
ZCTA5 00772,17209,9029,17304,00772,52.178687008784095
ZCTA5 00773,22585,8011,17681,00773,45.3085232735705
ZCTA5 00775,25483,278,1182,00775,23.519458544839257
ZCTA5 00777,26052,14168,37666,00777,37.61482504115117
ZCTA5 00778,39484,12880,40290,00778,31.968230330106728
ZCTA5 00780,26075,5509,13857,00780,39.75607995958722
ZCTA5 00782,16221,9934,18628,00782,53.32832295469186
ZCTA5 00783,21701,15602,34039,00783,45.83565909691824
ZCTA5 00784,19199,16110,33500,00784,48.08955223880597
ZCTA5 00786,-666666666,87,154,00786,56.493506493506494
ZCTA5 00791,26002,16880,46238,00791,36.506769323932694
ZCTA5 00794,21278,14013,28153,00794,49.774446772990444
ZCTA5 00795,22579,19204,42506,00795,45.17950407001364
ZCTA5 00901,27926,2243,6987,00901,32.10247602690711
ZCTA5 00906,-666666666,0,148,00906,0.0
ZCTA5 00907,40293,4338,16568,00907,26.183003380009655
ZCTA5 00909,25778,2269,5177,00909,43.8284720880819
ZCTA5 00911,38125,1941,7075,00911,27.434628975265017
ZCTA5 00912,27026,1924,5623,00912,34.21661035034679
ZCTA5 00913,6449,5300,7034,00913,75.3483082172306
ZCTA5 00915,12963,16198,24703,00915,65.57098328138284
ZCTA5 00917,17086,9318,18380,00917,50.696409140369965
ZCTA5 00918,35000,4588,15945,00918,28.773910316713703
ZCTA5 00920,28562,6244,17244,00920,36.20969612618882
ZCTA5 00921,21419,15093,32108,00921,47.00697645446618
ZCTA5 00923,18389,12072,24380,00923,49.51599671862182
ZCTA5 00924,21046,21867,46645,00924,46.87962268195948
ZCTA5 00925,13016,3028,5049,00925,59.972271736977625
ZCTA5 00926,38432,24424,93317,00926,26.1731517301242
ZCTA5 00927,40213,2926,13753,00927,21.275358103686468
ZCTA5 00934,-666666666,0,128,00934,0.0
ZCTA5 00949,31500,22552,67605,00949,33.358479402411064
ZCTA5 00950,-666666666,0,0,00950,
ZCTA5 00951,21354,156,298,00951,52.348993288590606
ZCTA5 00952,19392,3634,8158,00952,44.545231674430006
ZCTA5 00953,32957,20964,65907,00953,31.808457371751103
ZCTA5 00956,27243,24649,65230,00956,37.78782768664725
ZCTA5 00957,28240,14438,40653,00957,35.515214129338545
ZCTA5 00959,31603,15982,47140,00959,33.90326686465846
ZCTA5 00960,-666666666,39,64,00960,60.9375
ZCTA5 00961,34141,8352,29130,00961,28.671472708547892
ZCTA5 00962,18478,10166,19579,00962,51.922978701670154
ZCTA5 00965,15872,2967,5138,00965,57.74620474892954
ZCTA5 00966,51732,3204,16406,00966,19.52944044861636
ZCTA5 00968,55132,336,3554,00968,9.454136184580754
ZCTA5 00969,55929,8027,41696,00969,19.251247122026093
ZCTA5 00971,31484,8785,26174,00971,33.56384198059143
ZCTA5 00976,35661,18764,61099,00976,30.710813597603888
ZCTA5 00979,34705,3679,16884,00979,21.789860222696046
ZCTA5 00982,24244,5759,13845,00982,41.5962441314554
ZCTA5 00983,30595,10608,31785,00983,33.374233128834355
ZCTA5 00985,33270,9382,32080,00985,29.245635910224436
ZCTA5 00987,36396,16317,53807,00987,30.325050643968254
