ZCTA Name,Median Household Income,Population Below Poverty Level,Total Population for Poverty Determination,ZCTA,Poverty Rate (%)
ZCTA5 00601,15292,11302,17074,00601,66.19421342391941
ZCTA5 00602,18716,17121,37812,00602,45.27927642018407
ZCTA5 00603,16789,23617,48441,00603,48.75415453851076
ZCTA5 00606,18835,3139,5751,00606,54.581811858807164
ZCTA5 00610,21239,11640,26053,00610,44.67815606647987
ZCTA5 00611,17143,604,1283,00611,47.07716289945441
ZCTA5 00612,19934,29162,63868,00612,45.65979833406401
ZCTA5 00616,19130,4748,10170,00616,46.68633235004916
ZCTA5 00617,19048,10131,22797,00617,44.440057902355576
ZCTA5 00622,17728,3965,7670,00622,51.69491525423729
ZCTA5 00623,18690,18477,39531,00623,46.74053274645215
ZCTA5 00624,18136,11564,21801,00624,53.0434383743865
ZCTA5 00627,19745,14510,32707,00627,44.36359189164399
ZCTA5 00631,15234,649,1098,00631,59.107468123861565
ZCTA5 00636,-666666666,765,1174,00636,65.1618398637138
ZCTA5 00637,19042,10115,22890,00637,44.18960244648318
ZCTA5 00638,18968,9670,17531,00638,55.15943186355599
ZCTA5 00641,16233,13596,24851,00641,54.7100720292946
ZCTA5 00646,29568,11200,36094,00646,31.030088103285863
ZCTA5 00647,14430,3497,5198,00647,67.27587533666795
ZCTA5 00650,20362,7145,14287,00650,50.01049905508504
ZCTA5 00652,23813,1202,3193,00652,37.64484810523019
ZCTA5 00653,11788,5942,8931,00653,66.53230321352592
ZCTA5 00656,19054,9608,18546,00656,51.80631942197779
ZCTA5 00659,20694,16219,37483,00659,43.2702825280794
ZCTA5 00660,20770,6710,15567,00660,43.1040020556305
ZCTA5 00662,17375,20514,40196,00662,51.034928848641655
ZCTA5 00664,16389,8677,15095,00664,57.48261013580655
ZCTA5 00667,15426,14080,23624,00667,59.60040636640704
ZCTA5 00669,17589,15437,27509,00669,56.11618015922062
ZCTA5 00670,15516,4257,8652,00670,49.20249653259362
ZCTA5 00674,19103,18720,39426,00674,47.48135747983564
ZCTA5 00676,17423,18321,36738,00676,49.86934509227503
ZCTA5 00677,24325,6212,15186,00677,40.906097721585674
ZCTA5 00678,18269,11649,25718,00678,45.295124037639006
ZCTA5 00680,15340,22014,42449,00680,51.85987891351975
ZCTA5 00682,15678,17552,31491,00682,55.73655965196406
ZCTA5 00683,16764,14336,29093,00683,49.276458254562954
ZCTA5 00685,16785,20255,40036,00685,50.59196722949345
ZCTA5 00687,21598,13582,29009,00687,46.819952428556654
ZCTA5 00688,16181,6138,11120,00688,55.197841726618705
ZCTA5 00690,18142,3468,6217,00690,55.78253176773364
ZCTA5 00692,22144,14694,33270,00692,44.165915238954014
ZCTA5 00693,21647,24234,55818,00693,43.416102332580884
ZCTA5 00694,-666666666,0,86,00694,0.0
ZCTA5 00698,16403,15949,33869,00698,47.09025952936313
ZCTA5 00703,22023,10898,24892,00703,43.78113450104451
ZCTA5 00704,18917,3836,7129,00704,53.80838827325011
ZCTA5 00705,21282,10651,24398,00705,43.65521764079023
ZCTA5 00707,21365,4912,10610,00707,46.295947219604145
ZCTA5 00714,14933,9836,16167,00714,60.83998268076947
ZCTA5 00715,13787,1327,2012,00715,65.95427435387674
ZCTA5 00716,19164,13254,27601,00716,48.01999927538858
ZCTA5 00717,12228,7849,14356,00717,54.674003900808025
ZCTA5 00718,18333,11633,23288,00718,49.95276537272415
ZCTA5 00719,19197,13357,29482,00719,45.30561020283563
ZCTA5 00720,15485,11425,20574,00720,55.53125303781472
ZCTA5 00723,18107,8059,16265,00723,49.54810943744236
ZCTA5 00725,24262,31858,78673,00725,40.494197501048646
ZCTA5 00727,31204,17141,52572,00727,32.60480864338431
ZCTA5 00728,20542,18475,37349,00728,49.46584915258775
ZCTA5 00729,24289,17968,48039,00729,37.40294344178688
ZCTA5 00730,16734,17298,33048,00730,52.34204793028322
ZCTA5 00731,15097,6407,11111,00731,57.663576635766354
ZCTA5 00735,20864,4899,11559,00735,42.38255904490008
ZCTA5 00736,24099,18109,46101,00736,39.281143576061254
ZCTA5 00738,22162,12606,30346,00738,41.54089501087458
ZCTA5 00739,23021,14074,35031,00739,40.17584425223373
ZCTA5 00740,10984,1221,2020,00740,60.445544554455445
ZCTA5 00741,24143,1683,3874,00741,43.443469282395455
ZCTA5 00745,23882,17838,47727,00745,37.3750707146898
ZCTA5 00751,18458,9653,19710,00751,48.97513952308473
ZCTA5 00754,19320,16894,36928,00754,45.74848353552859
ZCTA5 00757,20786,9445,20366,00757,46.37631346361583
