ZCTA Name,Median Household Income,Population Below Poverty Level,Total Population for Poverty Determination,ZCTA,Poverty Rate (%)
ZCTA5 00765,14942,4425,8317,00765,53.20428038956354
ZCTA5 00766,20774,9898,22282,00766,44.421506148460644
ZCTA5 00767,17390,16345,31445,00767,51.97964700270313
ZCTA5 00769,18994,17467,35031,00769,49.86155119751078
ZCTA5 00771,23873,13171,34822,00771,37.8237895583252
ZCTA5 00772,16425,9685,18135,00772,53.40501792114696
ZCTA5 00773,22216,7859,17881,00773,43.95168055477882
ZCTA5 00775,25104,297,1290,00775,23.02325581395349
ZCTA5 00777,22317,15229,38198,00777,39.86857950678046
ZCTA5 00778,35690,12331,40828,00778,30.20231213872832
ZCTA5 00780,23684,5573,12922,00780,43.12799876180158
ZCTA5 00782,14978,9855,18664,00782,52.80218602657523
ZCTA5 00783,19192,16323,34161,00783,47.78255905857557
ZCTA5 00784,17821,17506,34479,00784,50.772934249833234
ZCTA5 00786,-666666666,82,151,00786,54.3046357615894
ZCTA5 00791,22316,18366,47114,00791,38.98204355393302
ZCTA5 00794,19997,14720,28216,00794,52.16898213779416
ZCTA5 00795,21252,19748,43553,00795,45.34245631759006
ZCTA5 00901,27426,2422,6970,00901,34.748923959827835
ZCTA5 00906,-666666666,7,171,00906,4.093567251461988
ZCTA5 00907,38807,4195,16599,00907,25.27260678354118
ZCTA5 00909,19512,2131,4920,00909,43.3130081300813
ZCTA5 00911,34413,2065,7336,00911,28.148854961832058
ZCTA5 00912,28011,1911,5898,00912,32.40081383519837
ZCTA5 00913,5746,5787,7431,00913,77.87646346386758
ZCTA5 00915,12921,16570,25575,00915,64.7898338220919
ZCTA5 00917,16277,9019,18325,00917,49.21691678035471
ZCTA5 00918,31993,4923,15374,00918,32.02159490048133
ZCTA5 00920,26217,5952,17204,00920,34.59660544059521
ZCTA5 00921,20147,14312,31611,00921,45.275378823827154
ZCTA5 00923,16950,13155,25475,00923,51.63886162904808
ZCTA5 00924,19876,22295,47563,00924,46.87467148834178
ZCTA5 00925,12880,3207,5605,00925,57.21677074041035
ZCTA5 00926,35680,24654,94078,00926,26.205914241374177
ZCTA5 00927,36638,3161,13643,00927,23.169390896430404
ZCTA5 00934,-666666666,0,124,00934,0.0
ZCTA5 00949,29319,23050,69390,00949,33.21804294566941
ZCTA5 00950,-666666666,0,0,00950,
ZCTA5 00951,20662,221,376,00951,58.77659574468085
ZCTA5 00952,17018,3822,7727,00952,49.462922220784264
ZCTA5 00953,28459,21861,67439,00953,32.41596109076351
ZCTA5 00956,25506,23450,64360,00956,36.435674331883156
ZCTA5 00957,26384,14145,40886,00957,34.59619429633615
ZCTA5 00959,30418,15378,47310,00959,32.50475586556753
ZCTA5 00960,-666666666,27,27,00960,100.0
ZCTA5 00961,34346,8719,30705,00961,28.396026705748252
ZCTA5 00962,17315,10395,20040,00962,51.87125748502994
ZCTA5 00965,15407,3155,5383,00965,58.61044027493962
ZCTA5 00966,50154,3163,15697,00966,20.15034720010193
ZCTA5 00968,47372,510,3683,00968,13.847407005158837
ZCTA5 00969,50730,7406,42067,00969,17.605248769819575
ZCTA5 00971,26849,9233,26800,00971,34.451492537313435
ZCTA5 00976,33822,18121,61353,00976,29.535638029110228
ZCTA5 00979,33503,3620,17306,00979,20.91760083208136
ZCTA5 00982,25569,5547,14090,00982,39.368346344925484
ZCTA5 00983,28472,10662,32694,00983,32.611488346485594
ZCTA5 00985,29693,9056,32040,00985,28.26466916354557
ZCTA5 00987,33719,15817,54656,00987,28.93918325526932
ZCTA5 01001,72444,1187,15587,01001,7.615320459357157
ZCTA5 01002,65013,5490,23893,01002,22.977441091533084
ZCTA5 01003,-666666666,3,37,01003,8.108108108108109
ZCTA5 01005,103477,568,4812,01005,11.803823773898586
ZCTA5 01007,101076,1084,15297,01007,7.086356801987318
ZCTA5 01008,79573,46,1171,01008,3.928266438941076
ZCTA5 01009,64809,171,800,01009,21.375
ZCTA5 01010,84830,261,3703,01010,7.0483391844450445
ZCTA5 01011,75640,122,1332,01011,9.15915915915916
ZCTA5 01012,68894,19,503,01012,3.7773359840954273
ZCTA5 01013,52721,3733,22079,01013,16.90746863535486
ZCTA5 01020,61963,3802,30476,01020,12.475390471190446
ZCTA5 01022,50134,437,2235,01022,19.552572706935123
ZCTA5 01026,76100,80,1071,01026,7.469654528478058
ZCTA5 01027,64330,1196,17644,01027,6.778508274767627
ZCTA5 01028,95284,692,16006,01028,4.323378732975134
ZCTA5 01029,88750,12,511,01029,2.3483365949119372
ZCTA5 01030,86136,783,12549,01030,6.239540999282812
ZCTA5 01031,49071,363,1577,01031,23.018389346861127
ZCTA5 01032,83750,35,430,01032,8.13953488372093
ZCTA5 01033,106821,301,6109,01033,4.927156654116876
ZCTA5 01034,91176,162,1970,01034,8.223350253807107
ZCTA5 01035,101458,192,5192,01035,3.697996918335902
ZCTA5 01036,99400,122,4909,01036,2.485231207985333
ZCTA5 01037,85250,20,645,01037,3.10077519379845
ZCTA5 01038,90893,110,2601,01038,4.2291426374471355
ZCTA5 01039,99896,83,1675,01039,4.955223880597015
ZCTA5 01040,45045,9909,37425,01040,26.47695390781563
ZCTA5 01050,70800,308,2583,01050,11.924119241192411
ZCTA5 01053,56094,260,1752,01053,14.840182648401825
ZCTA5 01054,97188,165,1788,01054,9.228187919463087
ZCTA5 01056,72563,1619,20086,01056,8.060340535696504
ZCTA5 01057,72567,998,8226,01057,12.13226355458303
ZCTA5 01060,70467,1668,14502,01060,11.50186181216384
ZCTA5 01062,78526,1012,9491,01062,10.662733115583183
ZCTA5 01063,-666666666,0,5,01063,0.0
ZCTA5 01066,-666666666,0,51,01066,0.0
ZCTA5 01068,85078,80,1621,01068,4.9352251696483656
ZCTA5 01069,64300,807,8757,01069,9.215484755053101
ZCTA5 01070,71000,71,619,01070,11.470113085621971
ZCTA5 01071,94286,67,1280,01071,5.234375
ZCTA5 01072,79226,58,1374,01072,4.2212518195050945
ZCTA5 01073,110200,171,6139,01073,2.7854699462453167
ZCTA5 01074,81681,210,584,01074,35.95890410958904
ZCTA5 01075,82278,1157,15564,01075,7.433821639681317
ZCTA5 01077,100337,509,9222,01077,5.519410106267621
ZCTA5 01079,65184,39,521,01079,7.485604606525912
ZCTA5 01080,80087,167,2276,01080,7.3374340949033385
ZCTA5 01081,85938,46,1705,01081,2.6979472140762466
ZCTA5 01082,60281,1159,10366,01082,11.180783330117693
ZCTA5 01083,81078,322,2701,01083,11.921510551647538
ZCTA5 01084,78750,10,101,01084,9.900990099009901
ZCTA5 01085,74341,2634,38549,01085,6.832862071649071
ZCTA5 01088,60260,72,663,01088,10.85972850678733
ZCTA5 01089,60023,2788,28713,01089,9.709887507400829
ZCTA5 01092,62500,111,1219,01092,9.105824446267432
ZCTA5 01093,96500,8,157,01093,5.095541401273886
ZCTA5 01094,-666666666,0,70,01094,0.0
ZCTA5 01095,124327,530,14335,01095,3.6972445064527384
ZCTA5 01096,89643,120,2407,01096,4.985459077690071
ZCTA5 01097,70909,0,64,01097,0.0
ZCTA5 01098,86364,48,1035,01098,4.63768115942029
ZCTA5 01103,20978,884,2164,01103,40.85027726432532
ZCTA5 01104,41402,5141,23053,01104,22.300785147269337
ZCTA5 01105,23331,5848,12279,01105,47.6260281781904
ZCTA5 01106,129339,413,15567,01106,2.6530481146014004
ZCTA5 01107,31698,5204,12259,01107,42.450444571335346
ZCTA5 01108,41153,7745,25998,01108,29.79075313485653
ZCTA5 01109,37887,7423,27757,01109,26.742803617105594
ZCTA5 01118,70295,2328,14892,01118,15.63255439161966
ZCTA5 01119,50729,2443,12677,01119,19.271120927664274
ZCTA5 01128,79015,270,3232,01128,8.353960396039604
ZCTA5 01129,75944,744,5819,01129,12.78570201065475
ZCTA5 01144,-666666666,0,0,01144,
ZCTA5 01151,47234,1465,9633,01151,15.208138689920068
ZCTA5 01201,60060,5629,44605,01201,12.619661472929044
ZCTA5 01220,49691,1100,8151,01220,13.49527665317139
ZCTA5 01222,61840,44,754,01222,5.835543766578249
ZCTA5 01223,64750,256,2658,01223,9.631301730624529
ZCTA5 01224,-666666666,15,186,01224,8.064516129032258
ZCTA5 01225,69069,170,3243,01225,5.242059821153253
ZCTA5 01226,72664,446,6265,01226,7.118914604948125
ZCTA5 01229,-666666666,24,142,01229,16.901408450704224
ZCTA5 01230,71281,494,8282,01230,5.964742815744989
ZCTA5 01235,66516,239,2607,01235,9.167625623321825
ZCTA5 01236,77588,79,1585,01236,4.9842271293375395
ZCTA5 01237,78413,150,2332,01237,6.432246998284734
ZCTA5 01238,69840,204,5471,01238,3.7287515993419853
ZCTA5 01240,72200,277,4551,01240,6.086574379257306
ZCTA5 01242,-666666666,4,279,01242,1.4336917562724014
ZCTA5 01243,74688,7,163,01243,4.294478527607362
ZCTA5 01244,53462,8,164,01244,4.878048780487805
ZCTA5 01245,101488,46,771,01245,5.966277561608301
ZCTA5 01247,51959,1836,14311,01247,12.829292152889385
ZCTA5 01253,93625,25,872,01253,2.86697247706422
ZCTA5 01254,97500,37,995,01254,3.7185929648241203
ZCTA5 01255,76750,37,808,01255,4.579207920792079
ZCTA5 01256,51250,85,701,01256,12.125534950071327
ZCTA5 01257,64531,260,2034,01257,12.782694198623402
ZCTA5 01258,92917,10,161,01258,6.211180124223603
ZCTA5 01259,110417,25,684,01259,3.654970760233918
ZCTA5 01260,123367,0,331,01260,0.0
ZCTA5 01262,51875,225,1559,01262,14.432328415651059
ZCTA5 01264,73333,67,252,01264,26.58730158730159
ZCTA5 01266,85406,97,920,01266,10.543478260869566
ZCTA5 01267,95360,433,5554,01267,7.796182931220742
ZCTA5 01270,99063,43,949,01270,4.531085353003162
ZCTA5 01301,52569,2254,17233,01301,13.079556664538966
ZCTA5 01330,74355,187,1535,01330,12.182410423452769
ZCTA5 01331,61990,1403,13663,01331,10.268608651101516
ZCTA5 01337,75938,166,2488,01337,6.672025723472669
ZCTA5 01338,57344,10,97,01338,10.309278350515463
ZCTA5 01339,65139,155,1493,01339,10.381781647689216
ZCTA5 01340,64097,144,1811,01340,7.951408061844285
ZCTA5 01341,86875,37,1650,01341,2.242424242424242
ZCTA5 01342,99732,93,1040,01342,8.942307692307692
ZCTA5 01343,74545,8,137,01343,5.839416058394161
ZCTA5 01344,66319,133,1690,01344,7.8698224852071
ZCTA5 01346,99082,16,399,01346,4.010025062656641
ZCTA5 01347,67500,27,207,01347,13.043478260869565
ZCTA5 01349,63717,64,715,01349,8.951048951048952
ZCTA5 01350,-666666666,12,114,01350,10.526315789473683
ZCTA5 01351,100078,207,2725,01351,7.5963302752293576
ZCTA5 01354,72500,102,1703,01354,5.989430416911333
ZCTA5 01355,72064,105,1010,01355,10.396039603960396
ZCTA5 01360,83750,188,2873,01360,6.543682561782109
ZCTA5 01364,53039,1223,7621,01364,16.047762760792548
ZCTA5 01366,77500,49,1095,01366,4.474885844748858
ZCTA5 01367,67500,58,471,01367,12.314225053078557
ZCTA5 01368,89417,112,1461,01368,7.665982203969883
ZCTA5 01370,69643,499,3669,01370,13.60043608612701
ZCTA5 01373,83826,319,5057,01373,6.30808779909037
ZCTA5 01375,58750,498,3608,01375,13.802660753880266
ZCTA5 01376,50921,473,4862,01376,9.728506787330318
ZCTA5 01378,75179,53,758,01378,6.992084432717678
ZCTA5 01379,60372,118,819,01379,14.407814407814406
ZCTA5 01380,72500,7,47,01380,14.893617021276595
ZCTA5 01420,60390,5838,40039,01420,14.580783735857539
ZCTA5 01430,103762,435,6215,01430,6.999195494770715
ZCTA5 01431,95536,102,3164,01431,3.2237673830594185
ZCTA5 01432,97097,394,7815,01432,5.041586692258478
ZCTA5 01434,140391,116,1171,01434,9.90606319385141
ZCTA5 01436,75833,207,3531,01436,5.862361937128292
ZCTA5 01438,77381,4,365,01438,1.095890410958904
ZCTA5 01440,53400,2812,20052,01440,14.023538799122282
ZCTA5 01450,169643,424,11131,01450,3.8091815649986525
ZCTA5 01451,174444,158,5068,01451,3.117600631412786
ZCTA5 01452,105938,246,4303,01452,5.7169416686033
ZCTA5 01453,69525,3414,43238,01453,7.895832369674823
ZCTA5 01460,140511,627,9922,01460,6.319290465631928
ZCTA5 01462,101540,952,11600,01462,8.206896551724139
ZCTA5 01463,111827,714,11555,01463,6.179143228039809
ZCTA5 01464,111875,248,5939,01464,4.1757871695571644
ZCTA5 01468,98925,123,4058,01468,3.03104977821587
ZCTA5 01469,103984,400,7447,01469,5.371290452531221
ZCTA5 01473,107738,184,8006,01473,2.2982762927804146
ZCTA5 01474,108068,85,1641,01474,5.1797684338817795
ZCTA5 01475,85000,1162,10215,01475,11.375428291727852
ZCTA5 01501,94267,649,16553,01501,3.9207394430012683
ZCTA5 01503,106908,168,3316,01503,5.066344993968637
ZCTA5 01504,89129,322,9158,01504,3.5160515396374756
ZCTA5 01505,127833,171,4790,01505,3.569937369519833
ZCTA5 01506,75329,159,3435,01506,4.6288209606986905
ZCTA5 01507,106558,522,13203,01507,3.953646898432175
ZCTA5 01510,84938,762,15180,01510,5.019762845849803
ZCTA5 01515,70660,152,2018,01515,7.5322101090188305
ZCTA5 01516,133854,355,9186,01516,3.864576529501415
ZCTA5 01518,78673,238,3299,01518,7.214307365868446
ZCTA5 01519,128824,416,7585,01519,5.484508899143045
ZCTA5 01520,128245,706,16566,01520,4.261740915127369
ZCTA5 01521,82500,201,2591,01521,7.757622539560015
ZCTA5 01522,109867,160,2907,01522,5.503955968352253
ZCTA5 01523,109651,268,7001,01523,3.828024567918869
ZCTA5 01524,80702,275,5918,01524,4.646840148698884
ZCTA5 01525,-666666666,0,31,01525,0.0
ZCTA5 01527,96672,698,13673,01527,5.104951364002048
ZCTA5 01529,82131,206,3154,01529,6.53138871274572
ZCTA5 01531,86667,142,1049,01531,13.536701620591037
ZCTA5 01532,148010,669,15467,01532,4.325337815995345
ZCTA5 01534,115439,174,6005,01534,2.897585345545379
ZCTA5 01535,77313,210,4751,01535,4.420122079562198
ZCTA5 01536,89886,799,7085,01536,11.277346506704305
ZCTA5 01537,61514,42,1775,01537,2.3661971830985915
ZCTA5 01540,110195,271,11457,01540,2.365366151697652
ZCTA5 01541,148438,123,3502,01541,3.512278697886922
ZCTA5 01542,88295,84,2605,01542,3.2245681381957776
ZCTA5 01543,132000,137,8976,01543,1.5262923351158646
ZCTA5 01545,117909,1540,38156,01545,4.036062480343851
ZCTA5 01550,50414,3503,17375,01550,20.16115107913669
ZCTA5 01560,89779,195,4745,01560,4.10958904109589
ZCTA5 01561,-666666666,0,69,01561,0.0
ZCTA5 01562,68559,810,11931,01562,6.789036962534574
ZCTA5 01564,119000,142,7920,01564,1.792929292929293
ZCTA5 01566,105417,163,6507,01566,2.5049946211771936
ZCTA5 01568,141250,90,7801,01568,1.1536982438148955
ZCTA5 01569,115304,516,13873,01569,3.719455056584733
ZCTA5 01570,64305,1973,17282,01570,11.416502719592641
ZCTA5 01571,75465,630,10679,01571,5.899428785466804
ZCTA5 01581,118185,1002,20886,01581,4.79747199080724
ZCTA5 01583,94464,535,6606,01583,8.098698153194066
ZCTA5 01585,71667,404,4721,01585,8.557509002330015
ZCTA5 01588,81438,944,10103,01588,9.343759279421954
ZCTA5 01590,123542,274,9208,01590,2.975673327541269
ZCTA5 01602,76287,3542,25109,01602,14.106495678840256
ZCTA5 01603,53166,3635,19600,01603,18.54591836734694
ZCTA5 01604,63107,5778,40599,01604,14.231877632454001
ZCTA5 01605,45709,7487,29427,01605,25.442620722465765
ZCTA5 01606,74765,2339,22423,01606,10.431253623511573
ZCTA5 01607,57880,1261,8789,01607,14.34747980430083
ZCTA5 01608,37962,1947,4691,01608,41.50500959283735
ZCTA5 01609,49333,4009,18469,01609,21.706643564892524
ZCTA5 01610,35642,6651,21038,01610,31.614221884209528
ZCTA5 01611,103405,138,2190,01611,6.301369863013699
ZCTA5 01612,123958,81,4303,01612,1.8824076225888913
ZCTA5 01701,120811,1540,32748,01701,4.702577256626359
ZCTA5 01702,71602,5719,36688,01702,15.588203227213256
ZCTA5 01718,173000,3,767,01718,0.3911342894393742
ZCTA5 01719,136875,135,5471,01719,2.467556205446902
ZCTA5 01720,138220,780,23001,01720,3.3911569062214686
ZCTA5 01721,115959,898,18501,01721,4.853791686935841
ZCTA5 01730,140647,559,13941,01730,4.009755397747651
ZCTA5 01731,105909,0,1852,01731,0.0
ZCTA5 01740,167132,136,5606,01740,2.425972172672137
ZCTA5 01741,216000,162,5184,01741,3.125
ZCTA5 01742,168934,444,16903,01742,2.626752647459031
ZCTA5 01745,148207,0,538,01745,0.0
ZCTA5 01746,142339,389,14359,01746,2.709102305174455
ZCTA5 01747,113300,358,5968,01747,5.998659517426273
ZCTA5 01748,179192,723,18466,01748,3.9153038015812847
ZCTA5 01749,94191,1137,20032,01749,5.675918530351438
ZCTA5 01752,86230,3412,41089,01752,8.303925624863103
ZCTA5 01754,112432,586,10661,01754,5.496670105993809
ZCTA5 01756,133850,243,6195,01756,3.922518159806295
ZCTA5 01757,89273,2923,29993,01757,9.745607308371953
ZCTA5 01760,123109,1539,35995,01760,4.2755938324767335
ZCTA5 01770,218906,123,4406,01770,2.791647753064004
ZCTA5 01772,173056,397,9794,01772,4.0535021441699
ZCTA5 01773,172891,422,5140,01773,8.210116731517509
ZCTA5 01775,147841,238,7107,01775,3.3488110313775152
ZCTA5 01776,217847,344,18752,01776,1.834470989761092
ZCTA5 01778,203125,517,14006,01778,3.691275167785235
ZCTA5 01801,95184,2620,40680,01801,6.440511307767944
ZCTA5 01803,124755,1314,26096,01803,5.03525444512569
ZCTA5 01810,155252,1237,34986,01810,3.5356999942834277
ZCTA5 01821,126146,1060,31472,01821,3.368073207930859
ZCTA5 01824,130215,1226,26479,01824,4.630084217681937
ZCTA5 01826,94882,2533,32181,01826,7.871104067617539
ZCTA5 01827,177803,41,3363,01827,1.2191495688373477
ZCTA5 01830,66052,3370,26874,01830,12.540001488427476
ZCTA5 01832,70910,2933,25236,01832,11.622285623712157
ZCTA5 01833,130240,311,8375,01833,3.7134328358208957
ZCTA5 01834,121711,185,6739,01834,2.745214423504971
ZCTA5 01835,92880,822,14002,01835,5.870589915726325
ZCTA5 01840,28347,2355,6765,01840,34.811529933481154
ZCTA5 01841,47527,9688,52170,01841,18.57005942112325
ZCTA5 01843,61362,4582,27619,01843,16.590028603497593
ZCTA5 01844,87181,5045,52077,01844,9.687578009485954
ZCTA5 01845,120954,2137,29552,01845,7.231321061180293
ZCTA5 01850,59571,3216,16282,01850,19.751873234246407
ZCTA5 01851,72133,4775,32220,01851,14.819987585350713
ZCTA5 01852,68256,5861,36139,01852,16.21793630150253
ZCTA5 01854,58422,5442,25403,01854,21.422666614179427
ZCTA5 01860,88832,520,6637,01860,7.834865149917131
ZCTA5 01862,106964,642,9649,01862,6.653539226862887
ZCTA5 01863,108427,348,9676,01863,3.596527490698636
ZCTA5 01864,123813,451,15447,01864,2.919660775555124
ZCTA5 01867,145471,765,25324,01867,3.020849786763544
ZCTA5 01876,112917,983,30555,01876,3.2171494027164127
ZCTA5 01879,130509,332,12454,01879,2.6658101814678017
ZCTA5 01880,110878,1341,26814,01880,5.001118818527635
ZCTA5 01886,161076,483,24535,01886,1.9686162624821684
ZCTA5 01887,146250,509,22904,01887,2.2223192455466294
ZCTA5 01890,184844,654,22590,01890,2.895086321381142
ZCTA5 01901,24207,834,2291,01901,36.40331732867743
ZCTA5 01902,53802,8412,50605,01902,16.622863353423575
ZCTA5 01904,94006,1433,19865,01904,7.213692423861062
ZCTA5 01905,64885,4189,26677,01905,15.702665217228324
ZCTA5 01906,93737,2193,28241,01906,7.765305761127439
ZCTA5 01907,112668,747,15045,01907,4.9651046859421735
ZCTA5 01908,99456,132,3310,01908,3.9879154078549846
ZCTA5 01913,87433,991,17062,01913,5.808228812565936
ZCTA5 01915,89076,3868,38035,01915,10.169580649401867
ZCTA5 01921,186899,64,8265,01921,0.7743496672716274
ZCTA5 01922,193667,284,3903,01922,7.276454009736101
ZCTA5 01923,105654,1486,27287,01923,5.445816689265951
ZCTA5 01929,115670,328,3586,01929,9.146681539319577
ZCTA5 01930,82984,2744,29614,01930,9.26588775579118
ZCTA5 01937,-666666666,114,177,01937,64.40677966101694
ZCTA5 01938,111701,971,13668,01938,7.104184957565115
ZCTA5 01940,144116,425,13023,01940,3.2634569607617294
ZCTA5 01944,193279,136,5382,01944,2.52694165737644
ZCTA5 01945,154049,565,20290,01945,2.7846229669788074
ZCTA5 01949,155482,318,8554,01949,3.7175590367079727
ZCTA5 01950,115807,1046,18048,01950,5.795656028368795
ZCTA5 01951,122344,139,2811,01951,4.944859480611882
ZCTA5 01952,92048,494,9127,01952,5.41251232606552
ZCTA5 01960,83539,4320,53486,01960,8.076879931196949
ZCTA5 01965,223570,18,869,01965,2.0713463751438432
ZCTA5 01966,88377,460,6952,01966,6.61680092059839
ZCTA5 01969,124196,186,6090,01969,3.054187192118227
ZCTA5 01970,72994,6382,42827,01970,14.901814276040815
ZCTA5 01982,116955,549,7462,01982,7.357276869471992
ZCTA5 01983,155208,345,6427,01983,5.367978839271822
ZCTA5 01984,154375,151,3427,01984,4.4061861686606365
ZCTA5 01985,164250,180,4488,01985,4.010695187165775
ZCTA5 02019,109042,748,16861,02019,4.436273056165114
ZCTA5 02021,118814,687,23835,02021,2.882315921963499
ZCTA5 02025,156689,375,8236,02025,4.553181155900923
ZCTA5 02026,108047,1131,24470,02026,4.6219861054352265
ZCTA5 02030,250001,62,5883,02030,1.0538840727519971
ZCTA5 02032,161292,394,4857,02032,8.112003294214535
ZCTA5 02035,95410,721,18366,02035,3.9257323314820867
ZCTA5 02038,127608,1767,31921,02038,5.535540866514207
ZCTA5 02043,154300,754,23817,02043,3.165805936935802
ZCTA5 02045,117120,427,10110,02045,4.223541048466864
ZCTA5 02047,93309,0,158,02047,0.0
ZCTA5 02048,122274,790,23728,02048,3.3293998651382335
ZCTA5 02050,109524,1923,25749,02050,7.468251194221135
ZCTA5 02052,196820,350,12734,02052,2.7485471964818595
ZCTA5 02053,147276,788,13507,02053,5.834011993781003
ZCTA5 02054,131138,252,8448,02054,2.9829545454545454
ZCTA5 02056,168281,137,9280,02056,1.4762931034482758
ZCTA5 02061,172022,185,11088,02061,1.6684704184704184
ZCTA5 02062,96414,2319,30850,02062,7.517017828200973
ZCTA5 02066,132639,412,18616,02066,2.213149978513107
ZCTA5 02067,157928,230,18390,02067,1.2506797172376292
ZCTA5 02071,183894,0,1248,02071,0.0
ZCTA5 02072,94823,1810,28759,02072,6.29368197781564
ZCTA5 02081,129972,878,19867,02081,4.419388936427241
ZCTA5 02090,171071,370,15931,02090,2.322515849601406
ZCTA5 02093,147201,467,11825,02093,3.949260042283298
ZCTA5 02108,151793,561,3442,02108,16.298663567693204
ZCTA5 02109,156351,212,3508,02109,6.043329532497149
ZCTA5 02110,123942,292,2307,02110,12.657130472475075
ZCTA5 02111,65587,1787,6869,02111,26.015431649439513
ZCTA5 02113,100613,632,6726,02113,9.396372286648825
ZCTA5 02114,118125,1428,12645,02114,11.293001186239621
ZCTA5 02115,47486,5703,16383,02115,34.810474272111335
ZCTA5 02116,121967,2528,19997,02116,12.641896284442666
ZCTA5 02118,71096,6880,26517,02118,25.945619791077423
ZCTA5 02119,34987,8284,28094,02119,29.48672314373176
